id,text,label,author_followers,author_verified,retweets,likes,shares,credibility_score,sentiment
1,"Posts strongly emphasize patriotic duty and frame political opponents as existential threats, urging citizens to
mobilize emotionally against rival groups.Posts strongly emphasize patriotic duty and frame political opponents as
existential threats, urging citizens to mobilize emotionally against rival groups.Posts strongly emphasize patriotic
duty and frame political opponents as existential threats, urging citizens to mobilize emotionally against rival groups.",propaganda,367077,1,1274,13612,4547,0.434,positive
2,"Public health authorities published peer‑reviewed research explaining trends observed in vaccination programs and
hospital admissions.Public health authorities published peer‑reviewed research explaining trends observed in vaccination
programs and hospital admissions.",real,123652,1,3865,11472,5813,0.5,neutral
3,"Government departments released audited figures showing gradual economic recovery supported by international
institutions and expert reviews.Government departments released audited figures showing gradual economic recovery
supported by international institutions and expert reviews.Government departments released audited figures showing
gradual economic recovery supported by international institutions and expert reviews.Government departments released
audited figures showing gradual economic recovery supported by international institutions and expert reviews.",real,295181,0,304,5380,4643,0.79,negative
4,"Public health authorities published peer‑reviewed research explaining trends observed in vaccination programs and
hospital admissions.Public health authorities published peer‑reviewed research explaining trends observed in vaccination
programs and hospital admissions.Public health authorities published peer‑reviewed research explaining trends observed
in vaccination programs and hospital admissions.Public health authorities published peer‑reviewed research explaining
trends observed in vaccination programs and hospital admissions.",real,381716,1,1083,3997,7912,0.728,negative
5,"Public health authorities published peer‑reviewed research explaining trends observed in vaccination programs and
hospital admissions.Public health authorities published peer‑reviewed research explaining trends observed in vaccination
programs and hospital admissions.Public health authorities published peer‑reviewed research explaining trends observed
in vaccination programs and hospital admissions.",real,379545,1,1632,15072,5990,0.661,positive
6,"According to verified reports from multiple agencies, officials announced policy updates after reviewing scientific
assessments and public data. Independent journalists corroborated the findings.According to verified reports from
multiple agencies, officials announced policy updates after reviewing scientific assessments and public data.
Independent journalists corroborated the findings.According to verified reports from multiple agencies, officials
announced policy updates after reviewing scientific assessments and public data. Independent journalists corroborated
the findings.",real,94265,1,1868,6102,2532,0.545,neutral
7,"Government departments released audited figures showing gradual economic recovery supported by international
institutions and expert reviews.Government departments released audited figures showing gradual economic recovery
supported by international institutions and expert reviews.Government departments released audited figures showing
gradual economic recovery supported by international institutions and expert reviews.Government departments released
audited figures showing gradual economic recovery supported by international institutions and expert reviews.",real,470911,1,3374,2720,2970,0.343,neutral
8,"Messages highlight selective statistics and emotionally charged slogans to influence public opinion during election
campaigns.Messages highlight selective statistics and emotionally charged slogans to influence public opinion during
election campaigns.Messages highlight selective statistics and emotionally charged slogans to influence public opinion
during election campaigns.Messages highlight selective statistics and emotionally charged slogans to influence public
opinion during election campaigns.",propaganda,30620,1,3726,7703,8000,0.551,positive
9,"Public health authorities published peer‑reviewed research explaining trends observed in vaccination programs and
hospital admissions.Public health authorities published peer‑reviewed research explaining trends observed in vaccination
programs and hospital admissions.",real,433964,0,2944,19618,7890,0.16,positive
10,"Posts strongly emphasize patriotic duty and frame political opponents as existential threats, urging citizens to
mobilize emotionally against rival groups.Posts strongly emphasize patriotic duty and frame political opponents as
existential threats, urging citizens to mobilize emotionally against rival groups.Posts strongly emphasize patriotic
duty and frame political opponents as existential threats, urging citizens to mobilize emotionally against rival
groups.Posts strongly emphasize patriotic duty and frame political opponents as existential threats, urging citizens to
mobilize emotionally against rival groups.",propaganda,337930,0,4223,8094,5742,0.674,neutral
